Job_Title,Industry,Company_Size,Location,AI_Adoption_Level,Automation_Risk,Required_Skills,Salary_USD,Remote_Friendly,Job_Growth_Projection
Cybersecurity Analyst,Entertainment,Small,United Arab Emirates,Medium,High,UX/UI Design,111392.1652,Yes,Growth
Marketing Specialist,Technology,Large,Singapore,Medium,High,Marketing,93792.56247,No,Decline
AI Researcher,Technology,Large,Singapore,Medium,High,UX/UI Design,107170.2631,Yes,Growth
Sales Manager,Retail,Small,Germany,Low,High,Project Management,93027.95376,No,Growth
Cybersecurity Analyst,Entertainment,Small,Japan,Low,Low,JavaScript,87752.92217,Yes,Decline
UX Designer,Education,Large,United States of America,Medium,Medium,Cybersecurity,102825.0079,No,Growth
HR Manager,Finance,Medium,Singapore,Low,High,Sales,102065.7207,Yes,Growth
Cybersecurity Analyst,Technology,Small,United Arab Emirates,Medium,Low,Machine Learning,86607.31762,Yes,Decline
AI Researcher,Retail,Large,United Kingdom,High,Low,JavaScript,75015.86085,No,Stable
Sales Manager,Entertainment,Medium,Singapore,High,Low,Cybersecurity,96834.57829,Yes,Decline
Marketing Specialist,Finance,Small,United Kingdom,High,High,Python,91566.97338,Yes,Growth
AI Researcher,Entertainment,Medium,Singapore,Medium,High,UX/UI Design,78902.56574,No,Growth
AI Researcher,Transportation,Large,United States of America,High,Medium,Python,73151.99035,Yes,Growth
HR Manager,Retail,Small,France,Low,High,Cybersecurity,98209.51688,Yes,Decline
Product Manager,Finance,Medium,Singapore,High,High,JavaScript,101001.9011,Yes,Growth
Sales Manager,Telecommunications,Small,United Arab Emirates,High,Low,UX/UI Design,82799.35771,No,Growth
Software Engineer,Manufacturing,Medium,Singapore,High,Medium,Machine Learning,78401.25928,No,Decline
AI Researcher,Manufacturing,Large,Japan,Low,High,Project Management,73394.89622,No,Stable
Product Manager,Finance,Large,United States of America,Medium,High,UX/UI Design,97645.09878,Yes,Stable
Software Engineer,Entertainment,Small,United Arab Emirates,Low,Low,UX/UI Design,73920.45853,Yes,Growth
Sales Manager,Retail,Medium,Australia,Medium,Low,JavaScript,134822.6914,Yes,Decline
Data Scientist,Manufacturing,Small,United Arab Emirates,Medium,High,JavaScript,81794.37128,Yes,Growth
UX Designer,Retail,Small,Japan,High,Medium,Cybersecurity,41495.71444,No,Decline
Product Manager,Manufacturing,Medium,France,Medium,Medium,Data Analysis,89396.56667,Yes,Decline
Operations Manager,Transportation,Medium,United States of America,Low,Low,UX/UI Design,88539.3304,Yes,Stable
Data Scientist,Entertainment,Medium,Australia,Low,Low,Sales,112234.3714,Yes,Stable
UX Designer,Transportation,Large,Japan,Medium,High,UX/UI Design,95762.52473,No,Decline
HR Manager,Manufacturing,Small,Japan,High,Low,Cybersecurity,73323.29633,Yes,Growth
Cybersecurity Analyst,Telecommunications,Small,United States of America,High,High,Marketing,84272.16253,Yes,Stable
Marketing Specialist,Telecommunications,Large,United States of America,Low,Medium,Python,96548.39543,Yes,Growth
Operations Manager,Transportation,Medium,United Arab Emirates,High,Medium,Project Management,46705.71499,Yes,Stable
HR Manager,Telecommunications,Large,United Kingdom,Medium,High,Data Analysis,116772.4347,Yes,Stable
Sales Manager,Manufacturing,Large,France,Medium,Low,Machine Learning,73376.60228,No,Growth
HR Manager,Finance,Large,United Kingdom,Low,Medium,Machine Learning,118340.8764,Yes,Stable
Cybersecurity Analyst,Transportation,Small,United Arab Emirates,Medium,Low,Machine Learning,97849.30282,Yes,Stable
Sales Manager,Healthcare,Large,United Arab Emirates,Low,Medium,JavaScript,102591.8827,Yes,Growth
Operations Manager,Entertainment,Small,United States of America,Medium,High,Machine Learning,112988.4687,Yes,Stable
Cybersecurity Analyst,Telecommunications,Small,United Arab Emirates,Low,High,Project Management,101462.6411,Yes,Stable
Software Engineer,Telecommunications,Small,United States of America,High,High,Python,103457.7243,Yes,Stable
Marketing Specialist,Technology,Medium,Australia,Medium,Medium,Machine Learning,86711.67119,Yes,Growth
Operations Manager,Education,Small,United Arab Emirates,Medium,Low,UX/UI Design,97443.37363,Yes,Decline
Software Engineer,Transportation,Small,United Kingdom,Low,Low,UX/UI Design,78250.0437,Yes,Growth
UX Designer,Energy,Medium,United Arab Emirates,Low,Low,JavaScript,83131.77801,Yes,Decline
Operations Manager,Telecommunications,Small,United States of America,Medium,Medium,Project Management,129293.901,No,Stable
UX Designer,Entertainment,Large,Singapore,Low,Medium,Python,73836.1283,No,Decline
Sales Manager,Healthcare,Large,Singapore,Medium,Medium,Data Analysis,93086.34253,No,Growth
Software Engineer,Telecommunications,Small,Japan,High,Medium,Cybersecurity,92269.38073,No,Growth
Marketing Specialist,Healthcare,Medium,France,Low,Medium,Python,83784.91056,Yes,Stable
Cybersecurity Analyst,Manufacturing,Large,Germany,Medium,Low,Cybersecurity,100288.0187,No,Decline
AI Researcher,Manufacturing,Medium,Australia,High,Medium,Marketing,101794.4419,No,Stable
HR Manager,Education,Medium,Canada,High,Medium,Cybersecurity,71483.61634,Yes,Stable
Data Scientist,Finance,Large,Japan,Medium,Low,Sales,92027.13423,No,Growth
Marketing Specialist,Energy,Medium,France,Low,Medium,UX/UI Design,68352.65322,No,Decline
Software Engineer,Technology,Large,Singapore,Medium,Low,Project Management,105770.9724,Yes,Decline
AI Researcher,Education,Medium,United Kingdom,High,Low,Communication,93529.74621,Yes,Decline
Marketing Specialist,Retail,Large,Canada,Medium,High,JavaScript,91646.59773,Yes,Decline
Software Engineer,Technology,Small,France,Low,High,Sales,103180.627,No,Stable
Product Manager,Transportation,Large,France,High,High,Cybersecurity,84489.79419,No,Stable
Product Manager,Entertainment,Large,Japan,Medium,High,Machine Learning,108280.4392,Yes,Growth
UX Designer,Retail,Large,Canada,Low,Medium,Project Management,71031.10254,Yes,Stable
Marketing Specialist,Retail,Large,United States of America,High,High,Sales,118237.5304,No,Stable
Product Manager,Education,Medium,Germany,Low,Low,JavaScript,78981.77635,Yes,Growth
Software Engineer,Finance,Small,United States of America,High,Medium,UX/UI Design,56076.41865,No,Growth
UX Designer,Education,Large,Canada,Medium,High,Project Management,83429.30183,Yes,Growth
Software Engineer,Transportation,Medium,United States of America,Low,Low,JavaScript,81160.63605,Yes,Stable
UX Designer,Telecommunications,Small,United States of America,High,Medium,Marketing,83278.52028,No,Stable
Marketing Specialist,Telecommunications,Small,Singapore,Low,Medium,Marketing,94632.96031,Yes,Growth
AI Researcher,Finance,Small,United States of America,Low,High,JavaScript,111956.8472,Yes,Growth
Cybersecurity Analyst,Transportation,Small,United Arab Emirates,Medium,Medium,Sales,86165.88172,Yes,Growth
Operations Manager,Finance,Large,United States of America,Low,Low,Project Management,76167.6486,No,Stable
AI Researcher,Healthcare,Large,United Arab Emirates,High,Medium,Sales,67469.06375,Yes,Stable
Sales Manager,Telecommunications,Medium,United Kingdom,High,Low,Data Analysis,80636.34417,Yes,Decline
Software Engineer,Retail,Medium,Australia,High,Medium,Cybersecurity,52243.50321,Yes,Stable
Sales Manager,Energy,Medium,United Kingdom,High,High,Data Analysis,75497.33813,Yes,Stable
AI Researcher,Entertainment,Small,Canada,Medium,Low,Marketing,114881.0779,Yes,Stable
UX Designer,Transportation,Small,France,Low,Medium,UX/UI Design,73532.81591,Yes,Growth
Operations Manager,Technology,Large,Singapore,Medium,Medium,Python,102574.3172,No,Stable
Operations Manager,Finance,Small,United States of America,Low,Medium,Cybersecurity,65470.3582,No,Growth
Data Scientist,Entertainment,Small,Japan,Low,Low,Marketing,125421.918,Yes,Decline
Operations Manager,Technology,Small,Australia,Low,Low,Sales,126752.1347,No,Decline
Cybersecurity Analyst,Entertainment,Medium,Germany,Medium,Low,Sales,101820.4311,No,Growth
Operations Manager,Energy,Medium,Germany,Low,High,Sales,129825.052,Yes,Growth
AI Researcher,Technology,Large,Germany,Medium,High,UX/UI Design,97115.8595,No,Growth
Data Scientist,Education,Small,United States of America,High,Low,Data Analysis,105370.3423,No,Stable
AI Researcher,Manufacturing,Small,Germany,High,Medium,Python,115238.6775,No,Decline
AI Researcher,Education,Large,United States of America,Low,High,Sales,93594.36906,No,Growth
HR Manager,Telecommunications,Small,Australia,Medium,Low,Communication,58952.45077,No,Stable
Data Scientist,Manufacturing,Small,United States of America,High,Medium,Cybersecurity,105779.2671,No,Decline
AI Researcher,Education,Medium,France,Medium,High,Project Management,80562.80811,No,Stable
HR Manager,Manufacturing,Large,Australia,Medium,Medium,Communication,82049.40358,No,Decline
HR Manager,Manufacturing,Large,United States of America,Low,Medium,Python,95957.89833,Yes,Stable
Data Scientist,Retail,Large,Australia,High,Medium,UX/UI Design,101325.6176,Yes,Decline
Sales Manager,Finance,Large,France,Low,Medium,Python,93002.69268,No,Decline
UX Designer,Finance,Medium,United Arab Emirates,Low,High,Project Management,102714.5907,No,Stable
Cybersecurity Analyst,Retail,Medium,United States of America,High,High,Cybersecurity,75862.85732,Yes,Growth
UX Designer,Entertainment,Small,United States of America,High,High,Project Management,89145.92411,No,Decline
Operations Manager,Healthcare,Small,Germany,Medium,Low,JavaScript,106981.709,No,Growth
Cybersecurity Analyst,Entertainment,Small,United Kingdom,High,High,Cybersecurity,125455.8235,Yes,Stable
Operations Manager,Technology,Small,Germany,Medium,Medium,Python,132528.7118,Yes,Growth
AI Researcher,Technology,Medium,Canada,Medium,High,Sales,98659.53365,Yes,Growth
Software Engineer,Manufacturing,Large,United States of America,Medium,Medium,Python,106800.1965,No,Growth
Data Scientist,Education,Medium,Australia,High,Low,Python,129631.5833,No,Growth
Cybersecurity Analyst,Education,Small,United Kingdom,Low,Medium,Cybersecurity,76583.27927,Yes,Growth
Cybersecurity Analyst,Finance,Medium,France,Medium,Medium,JavaScript,102593.9971,Yes,Decline
AI Researcher,Transportation,Large,Canada,Low,Medium,Python,105366.859,No,Decline
Sales Manager,Entertainment,Large,France,Low,Low,Communication,118957.2287,Yes,Decline
HR Manager,Telecommunications,Medium,United States of America,High,High,Marketing,67257.17239,No,Stable
AI Researcher,Energy,Medium,United States of America,Low,High,Machine Learning,71211.88432,No,Growth
Product Manager,Education,Medium,Germany,Low,Low,Machine Learning,90427.64422,Yes,Decline
HR Manager,Energy,Small,United States of America,High,Medium,Python,97554.55325,Yes,Stable
Data Scientist,Manufacturing,Medium,United Kingdom,Medium,High,Communication,112457.2791,No,Decline
HR Manager,Energy,Medium,Singapore,Low,Low,Sales,100350.8755,Yes,Decline
Sales Manager,Telecommunications,Medium,Canada,High,High,UX/UI Design,86971.7354,Yes,Growth
HR Manager,Retail,Large,Canada,Low,Low,UX/UI Design,98329.2289,Yes,Stable
Data Scientist,Telecommunications,Large,Germany,Low,Medium,Cybersecurity,96020.88953,Yes,Growth
Sales Manager,Energy,Small,United States of America,Medium,High,Machine Learning,124900.3286,No,Growth
UX Designer,Telecommunications,Small,Germany,Low,Low,Python,93313.17887,No,Decline
Cybersecurity Analyst,Healthcare,Large,Australia,High,High,UX/UI Design,82338.33173,No,Growth
Cybersecurity Analyst,Manufacturing,Large,United Kingdom,Low,High,Python,98992.1806,No,Stable
Operations Manager,Entertainment,Large,United States of America,Medium,High,Cybersecurity,93969.70639,Yes,Growth
UX Designer,Retail,Medium,United Arab Emirates,Medium,High,Machine Learning,58580.13289,Yes,Growth
UX Designer,Education,Medium,Japan,High,Low,Project Management,89686.95877,No,Growth
HR Manager,Technology,Large,Japan,Medium,Medium,Marketing,87985.23509,No,Decline
Cybersecurity Analyst,Entertainment,Medium,Germany,Low,Low,Marketing,79122.56268,Yes,Stable
Data Scientist,Technology,Medium,Australia,Medium,Low,UX/UI Design,110711.6658,No,Decline
Marketing Specialist,Manufacturing,Small,United Kingdom,High,Low,Marketing,74286.40807,No,Decline
Marketing Specialist,Retail,Large,Singapore,Medium,Medium,Project Management,99112.37239,Yes,Decline
Sales Manager,Finance,Large,Japan,Medium,High,Python,87042.86,No,Decline
Cybersecurity Analyst,Education,Medium,United Kingdom,Medium,High,Cybersecurity,92153.90011,Yes,Decline
Cybersecurity Analyst,Healthcare,Large,United States of America,High,High,Project Management,98235.72582,Yes,Stable
Marketing Specialist,Finance,Small,France,Medium,Medium,Cybersecurity,63848.51232,No,Growth
Cybersecurity Analyst,Manufacturing,Small,Australia,Medium,High,Cybersecurity,93833.21783,Yes,Decline
HR Manager,Entertainment,Small,United States of America,Low,Medium,Machine Learning,135778.9498,No,Decline
Product Manager,Healthcare,Large,United Kingdom,High,High,Python,58864.73308,Yes,Stable
Software Engineer,Telecommunications,Large,United States of America,Medium,High,Communication,88847.84073,No,Stable
UX Designer,Energy,Large,Singapore,High,Low,Marketing,112464.7865,No,Growth
Operations Manager,Healthcare,Large,United Arab Emirates,Medium,Medium,Communication,96032.38496,No,Stable
Sales Manager,Manufacturing,Large,United States of America,Medium,Low,Machine Learning,103759.339,Yes,Growth
Product Manager,Transportation,Small,United Arab Emirates,Medium,Low,Cybersecurity,42486.67978,Yes,Decline
Marketing Specialist,Energy,Medium,Singapore,Low,Low,UX/UI Design,101964.9875,No,Decline
UX Designer,Technology,Small,United States of America,Low,Medium,Marketing,74766.23588,Yes,Growth
Cybersecurity Analyst,Education,Large,Japan,Low,Medium,Marketing,96197.54569,No,Stable
Operations Manager,Technology,Small,United Arab Emirates,High,High,Python,89411.30538,No,Growth
Cybersecurity Analyst,Healthcare,Large,United States of America,High,Low,JavaScript,135566.6606,Yes,Stable
Data Scientist,Technology,Large,Germany,Low,High,Data Analysis,100933.9065,No,Decline
Data Scientist,Manufacturing,Small,Canada,High,Low,Data Analysis,87747.52341,Yes,Stable
Operations Manager,Telecommunications,Large,United Kingdom,Medium,Medium,Data Analysis,59806.14481,No,Growth
Operations Manager,Entertainment,Medium,Japan,Medium,Medium,JavaScript,92422.93804,Yes,Growth
Marketing Specialist,Education,Large,United Arab Emirates,Medium,Medium,Python,106464.5776,No,Decline
Operations Manager,Technology,Medium,France,Low,Low,JavaScript,88388.96216,No,Stable
HR Manager,Technology,Medium,United Kingdom,High,Medium,Data Analysis,79886.8728,Yes,Stable
Cybersecurity Analyst,Healthcare,Large,Germany,Low,Low,Machine Learning,78548.26672,No,Stable
Product Manager,Entertainment,Small,Singapore,High,High,Project Management,100702.8287,No,Decline
AI Researcher,Finance,Medium,Canada,Medium,Low,Cybersecurity,105187.7588,Yes,Stable
Operations Manager,Technology,Small,United States of America,Low,High,JavaScript,117224.2023,No,Growth
Sales Manager,Manufacturing,Medium,Germany,High,Low,Python,70100.00214,Yes,Stable
Data Scientist,Transportation,Large,Germany,High,High,Python,100519.5512,No,Decline
HR Manager,Education,Large,Singapore,Medium,Medium,Communication,87565.92091,Yes,Stable
UX Designer,Technology,Medium,Australia,Low,High,Project Management,88155.31591,No,Stable
AI Researcher,Manufacturing,Large,Singapore,Low,Medium,UX/UI Design,98036.51708,No,Growth
Product Manager,Manufacturing,Medium,Australia,Low,Medium,Marketing,98153.12507,No,Stable
AI Researcher,Education,Large,Australia,Medium,High,Data Analysis,100575.3621,Yes,Growth
Operations Manager,Finance,Small,Japan,Low,Low,UX/UI Design,68850.57616,Yes,Growth
Marketing Specialist,Manufacturing,Large,Japan,Medium,Low,Communication,75003.77186,Yes,Decline
Data Scientist,Transportation,Small,United States of America,Medium,Low,Data Analysis,119717.3655,Yes,Growth
Data Scientist,Manufacturing,Large,United Arab Emirates,Medium,Low,Project Management,85588.55065,No,Growth
UX Designer,Manufacturing,Small,United Arab Emirates,High,Low,Communication,96120.28796,No,Decline
Marketing Specialist,Manufacturing,Large,United States of America,Low,Medium,Data Analysis,111093.3262,Yes,Growth
Cybersecurity Analyst,Telecommunications,Small,United Arab Emirates,Low,Low,Project Management,99268.86145,Yes,Decline
Software Engineer,Telecommunications,Medium,Japan,Medium,Medium,Sales,100930.4526,Yes,Stable
HR Manager,Finance,Medium,United States of America,Medium,Medium,UX/UI Design,107891.5536,No,Decline
Data Scientist,Technology,Small,United States of America,Low,Medium,UX/UI Design,47666.72478,Yes,Growth
Sales Manager,Manufacturing,Large,Australia,Medium,High,Marketing,80200.9969,Yes,Decline
Data Scientist,Entertainment,Small,Singapore,Low,High,Project Management,99372.11593,No,Growth
AI Researcher,Technology,Large,United States of America,High,Medium,JavaScript,117752.8861,No,Stable
Data Scientist,Finance,Medium,Australia,Medium,High,Sales,91321.91119,Yes,Decline
Data Scientist,Retail,Large,Singapore,Low,Low,Machine Learning,73105.67076,No,Stable
Software Engineer,Technology,Medium,United Arab Emirates,Medium,Low,Data Analysis,73638.27901,Yes,Growth
Software Engineer,Technology,Large,Australia,Low,Medium,Sales,107677.2241,No,Growth
Product Manager,Energy,Large,United Kingdom,Low,Low,Project Management,85644.52835,Yes,Stable
Cybersecurity Analyst,Healthcare,Large,United Arab Emirates,Medium,Medium,Cybersecurity,89855.99908,Yes,Decline
Sales Manager,Energy,Small,Singapore,High,Medium,Data Analysis,102300.6039,Yes,Decline
Data Scientist,Transportation,Small,United States of America,Low,Low,Python,31969.52635,Yes,Growth
Data Scientist,Telecommunications,Medium,Singapore,Low,High,UX/UI Design,130007.3502,No,Stable
HR Manager,Telecommunications,Medium,Australia,Low,Low,Project Management,75378.5233,No,Stable
Software Engineer,Healthcare,Small,Australia,High,Low,Python,94838.72739,No,Decline
Sales Manager,Education,Medium,Germany,High,Medium,Marketing,55906.05973,No,Decline
UX Designer,Education,Small,United States of America,Medium,Medium,Communication,81549.17779,Yes,Decline
Product Manager,Finance,Large,France,High,Medium,Machine Learning,114893.7609,Yes,Stable
Cybersecurity Analyst,Healthcare,Medium,United Arab Emirates,Medium,Medium,Machine Learning,51676.65641,No,Decline
Marketing Specialist,Technology,Medium,United States of America,Medium,High,Python,112524.0017,No,Decline
Cybersecurity Analyst,Education,Small,United States of America,High,High,UX/UI Design,84526.07808,No,Growth
AI Researcher,Manufacturing,Medium,United States of America,Medium,High,Marketing,99743.2888,No,Decline
Data Scientist,Entertainment,Medium,United States of America,High,Medium,Cybersecurity,103150.4883,No,Decline
Product Manager,Technology,Large,United States of America,Medium,Medium,UX/UI Design,98828.42999,Yes,Stable
AI Researcher,Transportation,Medium,Singapore,High,Medium,Sales,72700.98697,Yes,Stable
Sales Manager,Manufacturing,Large,United States of America,High,High,Machine Learning,82709.01707,Yes,Growth
Marketing Specialist,Manufacturing,Small,Germany,Medium,Medium,Sales,60768.87645,No,Decline
Software Engineer,Healthcare,Medium,France,Low,Low,Data Analysis,99835.92663,No,Growth
Product Manager,Finance,Large,Australia,Medium,Low,JavaScript,124041.1031,No,Stable
Product Manager,Transportation,Small,Canada,High,Medium,Project Management,53511.18227,No,Growth
Data Scientist,Education,Medium,United States of America,Low,Low,Marketing,74767.08188,Yes,Stable
Operations Manager,Healthcare,Small,Australia,Medium,Low,UX/UI Design,86364.49448,Yes,Growth
Product Manager,Education,Medium,Canada,Medium,High,Machine Learning,93466.82847,No,Growth
HR Manager,Healthcare,Small,France,Medium,Medium,Sales,107583.526,Yes,Decline
Marketing Specialist,Healthcare,Small,France,Low,Medium,Communication,86956.00039,Yes,Growth
Marketing Specialist,Healthcare,Large,United States of America,High,High,Data Analysis,83680.82547,No,Decline
HR Manager,Finance,Small,United States of America,Medium,Low,Project Management,112062.6141,No,Decline
UX Designer,Healthcare,Medium,France,Medium,Low,Project Management,103239.9113,No,Decline
HR Manager,Retail,Medium,Canada,Medium,Medium,UX/UI Design,100779.5595,No,Decline
HR Manager,Entertainment,Large,United States of America,Medium,Low,Marketing,92250.31423,No,Growth
Marketing Specialist,Education,Medium,United Arab Emirates,Medium,High,Cybersecurity,109663.0442,No,Stable
Cybersecurity Analyst,Technology,Medium,United Kingdom,High,High,Communication,76873.81218,Yes,Stable
Marketing Specialist,Energy,Medium,Australia,High,Medium,UX/UI Design,74146.11436,Yes,Stable
Operations Manager,Transportation,Small,Singapore,Medium,High,Sales,104922.0197,No,Growth
Data Scientist,Telecommunications,Small,Australia,Low,High,JavaScript,57499.28062,Yes,Decline
AI Researcher,Finance,Medium,Singapore,High,Medium,Python,91843.59019,No,Stable
Cybersecurity Analyst,Technology,Large,Canada,Low,High,Cybersecurity,83668.83295,No,Growth
Software Engineer,Manufacturing,Small,Singapore,High,High,Marketing,61884.90539,No,Decline
AI Researcher,Retail,Large,United States of America,Medium,High,Data Analysis,71374.64841,No,Stable
Data Scientist,Telecommunications,Medium,United Arab Emirates,High,Low,Cybersecurity,87820.47815,Yes,Decline
Operations Manager,Energy,Medium,United Arab Emirates,Medium,Medium,Machine Learning,110679.2651,No,Stable
Operations Manager,Technology,Small,United States of America,High,Medium,Marketing,76940.84017,Yes,Stable
Software Engineer,Telecommunications,Medium,Germany,Medium,Medium,JavaScript,114267.628,No,Stable
Cybersecurity Analyst,Technology,Small,Canada,Medium,Low,Machine Learning,91263.58455,No,Decline
UX Designer,Retail,Medium,Germany,Medium,Low,Cybersecurity,116207.694,No,Growth
HR Manager,Energy,Medium,Germany,Medium,Medium,Python,77910.16782,Yes,Decline
Cybersecurity Analyst,Manufacturing,Small,Australia,Low,Low,Python,89023.80824,No,Stable
UX Designer,Healthcare,Small,France,Medium,Medium,JavaScript,97369.67207,No,Decline
Operations Manager,Education,Small,Australia,Low,Low,Project Management,86409.79075,No,Growth
Marketing Specialist,Manufacturing,Medium,France,Low,High,Communication,109060.4829,Yes,Decline
Data Scientist,Healthcare,Medium,United Kingdom,Medium,High,Data Analysis,45848.72549,Yes,Growth
Software Engineer,Finance,Large,Singapore,Low,Medium,Project Management,138448.1108,Yes,Growth
Data Scientist,Entertainment,Small,France,High,Low,Python,107155.4921,No,Decline
Sales Manager,Transportation,Medium,United States of America,Medium,Low,Python,86529.36342,Yes,Stable
Sales Manager,Transportation,Medium,Australia,Low,High,Sales,78953.56653,No,Growth
Cybersecurity Analyst,Education,Small,Canada,Medium,High,Machine Learning,72671.58777,Yes,Decline
Operations Manager,Energy,Large,Singapore,Medium,Low,Cybersecurity,102912.3095,Yes,Growth
Operations Manager,Retail,Small,United Kingdom,Medium,Low,Data Analysis,109899.6334,No,Stable
HR Manager,Energy,Large,France,Low,Low,JavaScript,86749.47744,Yes,Decline
HR Manager,Retail,Medium,United Kingdom,High,Low,Cybersecurity,112139.8083,No,Decline
HR Manager,Energy,Large,Canada,High,Low,Sales,71854.79906,No,Decline
Marketing Specialist,Entertainment,Medium,Germany,Low,Low,Python,68323.783,Yes,Stable
AI Researcher,Finance,Small,United Arab Emirates,Medium,Medium,JavaScript,126266.8241,No,Growth
Product Manager,Finance,Small,Canada,Low,Low,Python,101822.1723,No,Decline
AI Researcher,Healthcare,Small,Japan,Low,High,Data Analysis,117936.964,Yes,Growth
Data Scientist,Telecommunications,Large,Canada,Low,Medium,Machine Learning,72921.20583,Yes,Growth
